event_message,event_type,function_id,id,level,timestamp
"{
  ""tag"": ""SPAPI_RESPONSE"",
  ""traceId"": ""4f69d30b-99a6-4e25-bc02-ae447ae32b1f"",
  ""timestamp"": ""2026-02-04T16:12:40.494Z"",
  ""operation"": ""inbound.v20240320.getOperationStatus"",
  ""status"": 200,
  ""requestId"": ""39de4d8f-b5f1-4b91-8868-9afa4f689398"",
  ""responseHeaders"": {
    ""connection"": ""keep-alive"",
    ""content-length"": ""502"",
    ""content-type"": ""application/json"",
    ""date"": ""Wed, 04 Feb 2026 16:12:40 GMT"",
    ""server"": ""Server"",
    ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"",
    ""vary"": ""Content-Type,Accept-Encoding,User-Agent"",
    ""x-amz-apigw-id"": ""OPF39de4d8fb5f1"",
    ""x-amz-rid"": ""03BC168TT14JK5DY63SV"",
    ""x-amzn-ratelimit-limit"": ""5.0"",
    ""x-amzn-requestid"": ""39de4d8f-b5f1-4b91-8868-9afa4f689398"",
    ""x-amzn-trace-id"": ""Root=1-69836ff8-39de4d8fb5f14b91""
  },
  ""responseBody"": ""{\""operationStatus\"":\""FAILED\"",\""operationId\"":\""d3f28f60-b027-4a8c-8fa5-6d6277b8389d\"",\""operation\"":\""confirmTransportationOptions\"",\""operationProblems\"":[{\""severity\"":\""ERROR\"",\""code\"":\""FBA_INB_0348\"",\""details\"":\""There's an input error with the resource 'sh41a20d3d-3122-4770-a854-97b30d1dedec'.\"",\""message\"":\""ERROR: Invalid transportation option ID that either does not belong to provided shipment ID or is not AVAILABLE was passed in. [RESOURCE_ID: sh41a20d3d-3122-4770-a854-97b30d1dedec, RESOURCE_TYPE: SHIPMENT]\""}]}""
}
",Log,6be7fd2b-24b5-4a8d-b502-c97dd1169245,74af678b-9929-4a7f-b13e-d5ccc3fa16d5,info,1770221560494000
"{
  ""tag"": ""SPAPI_REQUEST"",
  ""traceId"": ""4f69d30b-99a6-4e25-bc02-ae447ae32b1f"",
  ""timestamp"": ""2026-02-04T16:12:40.377Z"",
  ""operation"": ""inbound.v20240320.getOperationStatus"",
  ""method"": ""GET"",
  ""url"": ""https://sellingpartnerapi-eu.amazon.com/inbound/fba/2024-03-20/operations/a7cc99b7-e12e-479b-9f2a-4f64dff736c5"",
  ""marketplaceId"": ""A13V1IB3VIYZZH"",
  ""sellerId"": ""A22LQSZI6YQGE9"",
  ""region"": ""eu-west-1"",
  ""requestHeaders"": {
    ""authorization"": ""AWS4***1ea8"",
    ""x-amz-date"": ""20260204T161240Z"",
    ""x-amz-security-token"": ""FwoG***m6NN"",
    ""x-amz-access-token"": ""Atza***bLbQ"",
    ""accept"": ""application/json""
  },
  ""requestBody"": """"
}
",Log,6be7fd2b-24b5-4a8d-b502-c97dd1169245,6f49888a-2273-4d13-965c-911d380abe29,info,1770221560378000
"{
  ""tag"": ""SPAPI_RESPONSE"",
  ""traceId"": ""4f69d30b-99a6-4e25-bc02-ae447ae32b1f"",
  ""timestamp"": ""2026-02-04T16:12:38.376Z"",
  ""operation"": ""inbound.v20240320.getOperationStatus"",
  ""status"": 200,
  ""requestId"": ""db6fd376-780f-4f85-8d27-c76b7d74b489"",
  ""responseHeaders"": {
    ""connection"": ""keep-alive"",
    ""content-length"": ""152"",
    ""content-type"": ""application/json"",
    ""date"": ""Wed, 04 Feb 2026 16:12:38 GMT"",
    ""server"": ""Server"",
    ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"",
    ""vary"": ""Content-Type,Accept-Encoding,User-Agent"",
    ""x-amz-apigw-id"": ""OPFdb6fd376780f"",
    ""x-amz-rid"": ""WCME3PW9ETKD0CYZ18C1"",
    ""x-amzn-ratelimit-limit"": ""5.0"",
    ""x-amzn-requestid"": ""db6fd376-780f-4f85-8d27-c76b7d74b489"",
    ""x-amzn-trace-id"": ""Root=1-69836ff6-db6fd376780f4f85""
  },
  ""responseBody"": ""{\""operationStatus\"":\""IN_PROGRESS\"",\""operationId\"":\""41a89dcf-2669-40ca-8ffb-0b94c51f650d\"",\""operation\"":\""confirmTransportationOptions\"",\""operationProblems\"":[]}""
}
",Log,6be7fd2b-24b5-4a8d-b502-c97dd1169245,92b1217d-146a-4259-ac1b-737599bce3b7,info,1770221558376000
"{
  ""tag"": ""SPAPI_REQUEST"",
  ""traceId"": ""4f69d30b-99a6-4e25-bc02-ae447ae32b1f"",
  ""timestamp"": ""2026-02-04T16:12:38.286Z"",
  ""operation"": ""inbound.v20240320.getOperationStatus"",
  ""method"": ""GET"",
  ""url"": ""https://sellingpartnerapi-eu.amazon.com/inbound/fba/2024-03-20/operations/a7cc99b7-e12e-479b-9f2a-4f64dff736c5"",
  ""marketplaceId"": ""A13V1IB3VIYZZH"",
  ""sellerId"": ""A22LQSZI6YQGE9"",
  ""region"": ""eu-west-1"",
  ""requestHeaders"": {
    ""authorization"": ""AWS4***1f9a"",
    ""x-amz-date"": ""20260204T161238Z"",
    ""x-amz-security-token"": ""FwoG***m6NN"",
    ""x-amz-access-token"": ""Atza***bLbQ"",
    ""accept"": ""application/json""
  },
  ""requestBody"": """"
}
",Log,6be7fd2b-24b5-4a8d-b502-c97dd1169245,e1136216-38e4-4596-82ea-2312c529c2e7,info,1770221558287000
"{
  ""tag"": ""SPAPI_RESPONSE"",
  ""traceId"": ""4f69d30b-99a6-4e25-bc02-ae447ae32b1f"",
  ""timestamp"": ""2026-02-04T16:12:36.785Z"",
  ""operation"": ""inbound.v20240320.getOperationStatus"",
  ""status"": 200,
  ""requestId"": ""a78eacdf-7f5e-48c2-a210-4d208a36d223"",
  ""responseHeaders"": {
    ""connection"": ""keep-alive"",
    ""content-length"": ""152"",
    ""content-type"": ""application/json"",
    ""date"": ""Wed, 04 Feb 2026 16:12:36 GMT"",
    ""server"": ""Server"",
    ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"",
    ""vary"": ""Content-Type,Accept-Encoding,User-Agent"",
    ""x-amz-apigw-id"": ""OPFa78eacdf7f5e"",
    ""x-amz-rid"": ""GEDKFVTGY7NS3ATDWSBQ"",
    ""x-amzn-ratelimit-limit"": ""5.0"",
    ""x-amzn-requestid"": ""a78eacdf-7f5e-48c2-a210-4d208a36d223"",
    ""x-amzn-trace-id"": ""Root=1-69836ff4-a78eacdf7f5e48c2""
  },
  ""responseBody"": ""{\""operationStatus\"":\""IN_PROGRESS\"",\""operationId\"":\""58e9616c-16a2-43de-83c4-a422b2cdad0c\"",\""operation\"":\""confirmTransportationOptions\"",\""operationProblems\"":[]}""
}
",Log,6be7fd2b-24b5-4a8d-b502-c97dd1169245,14cefc69-e3d9-4e90-903a-ae3713727fa6,info,1770221556785000
"{
  ""tag"": ""SPAPI_REQUEST"",
  ""traceId"": ""4f69d30b-99a6-4e25-bc02-ae447ae32b1f"",
  ""timestamp"": ""2026-02-04T16:12:36.694Z"",
  ""operation"": ""inbound.v20240320.getOperationStatus"",
  ""method"": ""GET"",
  ""url"": ""https://sellingpartnerapi-eu.amazon.com/inbound/fba/2024-03-20/operations/a7cc99b7-e12e-479b-9f2a-4f64dff736c5"",
  ""marketplaceId"": ""A13V1IB3VIYZZH"",
  ""sellerId"": ""A22LQSZI6YQGE9"",
  ""region"": ""eu-west-1"",
  ""requestHeaders"": {
    ""authorization"": ""AWS4***9475"",
    ""x-amz-date"": ""20260204T161236Z"",
    ""x-amz-security-token"": ""FwoG***m6NN"",
    ""x-amz-access-token"": ""Atza***bLbQ"",
    ""accept"": ""application/json""
  },
  ""requestBody"": """"
}
",Log,6be7fd2b-24b5-4a8d-b502-c97dd1169245,c5befdb6-95cc-4d9a-a914-b977d1c2f38d,info,1770221556694000
"{
  ""tag"": ""SPAPI_RESPONSE"",
  ""traceId"": ""4f69d30b-99a6-4e25-bc02-ae447ae32b1f"",
  ""timestamp"": ""2026-02-04T16:12:35.693Z"",
  ""operation"": ""inbound.v20240320.getOperationStatus"",
  ""status"": 200,
  ""requestId"": ""417a9ec4-b249-4ba1-936b-95a6cf3b4378"",
  ""responseHeaders"": {
    ""connection"": ""keep-alive"",
    ""content-length"": ""152"",
    ""content-type"": ""application/json"",
    ""date"": ""Wed, 04 Feb 2026 16:12:35 GMT"",
    ""server"": ""Server"",
    ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"",
    ""vary"": ""Content-Type,Accept-Encoding,User-Agent"",
    ""x-amz-apigw-id"": ""OPF417a9ec4b249"",
    ""x-amz-rid"": ""3BS4FN2M0C607J0EEW71"",
    ""x-amzn-ratelimit-limit"": ""5.0"",
    ""x-amzn-requestid"": ""417a9ec4-b249-4ba1-936b-95a6cf3b4378"",
    ""x-amzn-trace-id"": ""Root=1-69836ff3-417a9ec4b2494ba1""
  },
  ""responseBody"": ""{\""operationStatus\"":\""IN_PROGRESS\"",\""operationId\"":\""1c658097-36dc-45c5-baef-749b8ad368a9\"",\""operation\"":\""confirmTransportationOptions\"",\""operationProblems\"":[]}""
}
",Log,6be7fd2b-24b5-4a8d-b502-c97dd1169245,2390ea46-e794-45c2-b2fb-48d04001673e,info,1770221555693000
"{
  ""tag"": ""SPAPI_REQUEST"",
  ""traceId"": ""4f69d30b-99a6-4e25-bc02-ae447ae32b1f"",
  ""timestamp"": ""2026-02-04T16:12:35.612Z"",
  ""operation"": ""inbound.v20240320.getOperationStatus"",
  ""method"": ""GET"",
  ""url"": ""https://sellingpartnerapi-eu.amazon.com/inbound/fba/2024-03-20/operations/a7cc99b7-e12e-479b-9f2a-4f64dff736c5"",
  ""marketplaceId"": ""A13V1IB3VIYZZH"",
  ""sellerId"": ""A22LQSZI6YQGE9"",
  ""region"": ""eu-west-1"",
  ""requestHeaders"": {
    ""authorization"": ""AWS4***2c33"",
    ""x-amz-date"": ""20260204T161235Z"",
    ""x-amz-security-token"": ""FwoG***m6NN"",
    ""x-amz-access-token"": ""Atza***bLbQ"",
    ""accept"": ""application/json""
  },
  ""requestBody"": """"
}
",Log,6be7fd2b-24b5-4a8d-b502-c97dd1169245,7577cdee-eb68-4dec-9c7a-d7eb39071aab,info,1770221555613000
"{
  ""tag"": ""SPAPI_RESPONSE"",
  ""traceId"": ""4f69d30b-99a6-4e25-bc02-ae447ae32b1f"",
  ""timestamp"": ""2026-02-04T16:12:35.111Z"",
  ""operation"": ""inbound.v20240320.getOperationStatus"",
  ""status"": 200,
  ""requestId"": ""3a024958-e20f-4beb-8618-2770645c0673"",
  ""responseHeaders"": {
    ""connection"": ""keep-alive"",
    ""content-length"": ""152"",
    ""content-type"": ""application/json"",
    ""date"": ""Wed, 04 Feb 2026 16:12:35 GMT"",
    ""server"": ""Server"",
    ""strict-transport-security"": ""max-age=47474747; includeSubDomains; preload"",
    ""vary"": ""Content-Type,Accept-Encoding,User-Agent"",
    ""x-amz-apigw-id"": ""OPF3a024958e20f"",
    ""x-amz-rid"": ""QS6JYWXPEDKFAZSQ6Q6X"",
    ""x-amzn-ratelimit-limit"": ""5.0"",
    ""x-amzn-requestid"": ""3a024958-e20f-4beb-8618-2770645c0673"",
    ""x-amzn-trace-id"": ""Root=1-69836ff3-3a024958e20f4beb""
  },
  ""responseBody"": ""{\""operationStatus\"":\""IN_PROGRESS\"",\""operationId\"":\""f82237b7-e600-44f7-8919-d280dac63cfa\"",\""operation\"":\""confirmTransportationOptions\"",\""operationProblems\"":[]}""
}
",Log,6be7fd2b-24b5-4a8d-b502-c97dd1169245,27656f84-540d-4ccf-b985-9062aa395829,info,1770221555111000
"{
  ""tag"": ""SPAPI_REQUEST"",
  ""traceId"": ""4f69d30b-99a6-4e25-bc02-ae447ae32b1f"",
  ""timestamp"": ""2026-02-04T16:12:35.029Z"",
  ""operation"": ""inbound.v20240320.getOperationStatus"",
  ""method"": ""GET"",
  ""url"": ""https://sellingpartnerapi-eu.amazon.com/inbound/fba/2024-03-20/operations/a7cc99b7-e12e-479b-9f2a-4f64dff736c5"",
  ""marketplaceId"": ""A13V1IB3VIYZZH"",
  ""sellerId"": ""A22LQSZI6YQGE9"",
  ""region"": ""eu-west-1"",
  ""requestHeaders"": {
    ""authorization"": ""AWS4***2c33"",
    ""x-amz-date"": ""20260204T161235Z"",
    ""x-amz-security-token"": ""FwoG***m6NN"",
    ""x-amz-access-token"": ""Atza***bLbQ"",
    ""accept"": ""application/json""
  },
  ""requestBody"": """"
}
",Log,6be7fd2b-24b5-4a8d-b502-c97dd1169245,c86f8d43-3a51-4769-98f6-a3d69acccce8,info,1770221555029000
